Name,listening,speaking,reading,writing,Exam
时梓轩,70,90,55,83,2023年考试
迟浩宇,72,86,62,61,2023年考试
武子怡,72,56,97,92,2023年考试
伊子涵,67,63,94,99,2023年考试
祁梓轩,90,70,68,60,2023年考试
米雨桐,62,51,55,75,2023年考试
孙雨欣,100,61,58,82,2023年考试
逯梓轩,69,82,93,92,2023年考试
申浩宇,86,82,70,88,2023年考试
施语嫣,52,75,58,92,2023年考试
时梓轩,62,60,71,93,2024年考试
迟浩宇,99,65,81,78,2024年考试
武子怡,52,100,45,50,2024年考试
伊子涵,83,73,98,53,2024年考试
祁梓轩,68,85,98,64,2024年考试
米雨桐,66,49,46,76,2024年考试
孙雨欣,83,84,86,72,2024年考试
逯梓轩,42,64,93,66,2024年考试
申浩宇,62,93,99,54,2024年考试
施语嫣,47,42,52,40,2024年考试
时梓轩,61,49,93,82,2025年考试
迟浩宇,98,55,82,90,2025年考试
武子怡,85,77,88,86,2025年考试
伊子涵,65,65,92,67,2025年考试
祁梓轩,81,42,40,49,2025年考试
米雨桐,89,59,43,69,2025年考试
孙雨欣,49,61,98,100,2025年考试
逯梓轩,90,89,49,88,2025年考试
申浩宇,41,77,51,77,2025年考试
施语嫣,57,79,100,82,2025年考试
