Name,Exam,listening,speaking,reading,writing
Ava,final,80.0,78.0,82.0,76.0
Ben,final,84.0,83.0,88.0,83.0
Chloe,final,81.0,81.0,87.0,83.0
Daniel,final,86.0,87.0,85.0,82.0
Ella,final,88.0,90.0,89.0,87.0
Felix,final,93.0,87.0,96.0,86.0
Grace,final,97.0,92.0,93.0,93.0
Henry,final,92.0,97.0,99.0,91.0
Ava,midterm,74.0,72.0,76.0,70.0
Ben,midterm,78.0,77.0,82.0,77.0
Chloe,midterm,75.0,75.0,81.0,77.0
Daniel,midterm,80.0,81.0,79.0,76.0
Ella,midterm,82.0,84.0,83.0,81.0
Felix,midterm,87.0,81.0,90.0,80.0
Grace,midterm,91.0,86.0,87.0,87.0
Henry,midterm,86.0,91.0,93.0,85.0
Ava,placement,66.0,66.0,69.0,64.0
Ben,placement,70.0,71.0,75.0,71.0
Chloe,placement,67.0,69.0,74.0,71.0
Daniel,placement,72.0,75.0,72.0,70.0
Ella,placement,74.0,78.0,76.0,75.0
Felix,placement,79.0,75.0,83.0,74.0
Grace,placement,83.0,80.0,80.0,81.0
Henry,placement,78.0,85.0,86.0,79.0
